
41,1430010,NAGALAND,PHEK,Secondary Level,ASSAM RIFLES MIDDLE SCHOOL,Disaffiliated,Guwahati,View
42,1530031,ODISHA,KHORDHA,Senior Secondary Level,INDIRA ENGLISH MEDIUM SCHOOL,Disaffiliated,Bhubaneswar,View
43,1530064,ODISHA,KHORDHA,Secondary Level,SOUTH EASTEN RAILWAY WOMEN'S ORGANISATION ENGLISH MEDIUM SCHOOL,Disaffiliated,Bhubaneswar,View
44,1600020,PUNJAB,AMRITSAR,Senior Secondary Level,KENDRIYA VIDYALAYA NO 2,Disaffiliated,chandigarh,View
45,1630203,PUNJAB,PATIALA,Senior Secondary Level,S TEJA SINGH KANDHARI PUB SCHOOL,Disaffiliated,chandigarh,View
46,1630206,PUNJAB,KAPURTHALA,Senior Secondary Level,VICTORIA INTERNATIONAL PUB SCHOOL,Disaffiliated,chandigarh,View
47,1630305,PUNJAB,JALANDHAR,Secondary Level,K C PUBLIC SCHOOL,Disaffiliated,chandigarh,View
48,1630635,PUNJAB,LUDHIANA,Senior Secondary Level,DON BOSCO GLOBAL SCHOOL,Disaffiliated,chandigarh,View
49,1630680,PUNJAB,HOSHIARPUR,Senior Secondary Level,TAKSHILA SCHOOL,Disaffiliated,chandigarh,View
50,1630883,PUNJAB,SANGRUR,Secondary Level,TAKSHILA SCHOOL,Disaffiliated,chandigarh,View
51,1631068,PUNJAB,HOSHIARPUR,Secondary Level,MAA SARSWATI PUBLIC SCHOOL,Disaffiliated,chandigarh,View
52,1631186,PUNJAB,BATHINDA,Secondary Level,MATA SUNDRI CONVENT SCHOOL,Disaffiliated,chandigarh,View
53,1631246,PUNJAB,LUDHIANA,Senior Secondary Level,SPRING DALE PUBLIC SENIOR SECONDARY SCHOOL,Disaffiliated,chandigarh,View
54,1631266,PUNJAB,SANGRUR,Secondary Level,BAYZWATER INTERNATIONAL SCHOOL,Disaffiliated,chandigarh,View
55,1700008,RAJASTHAN,RAJASMAND,Senior Secondary Level,KENDRIYA VIDYALAYA,Disaffiliated,Ajmer,View
56,1700010,RAJASTHAN,UDAIPUR,Senior Secondary Level,KENDRIYA VIDYALAYA,Disaffiliated,Ajmer,View
57,1730038,RAJASTHAN,KOTA,Senior Secondary Level,INSTRUMENTATION SCHOOL,Disaffiliated,Ajmer,View
58,1730039,RAJASTHAN,BIKANER,Senior Secondary Level,AIR FORCE SCHOOL,Disaffiliated,Ajmer,View
59,1730257,RAJASTHAN,JAIPUR,Senior Secondary Level,AMERICAN INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
60,1730272,RAJASTHAN,JAIPUR,Secondary Level,DEEP INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
61,1730373,RAJASTHAN,JAIPUR,Senior Secondary Level,EDIFY WORLD SCHOOL,Disaffiliated,Ajmer,View
62,1730386,RAJASTHAN,KOTA,Senior Secondary Level,PRAGATI INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
63,1730447,RAJASTHAN,TONK,Secondary Level,EMINENT SCHOOL,Disaffiliated,Ajmer,View
64,1730454,RAJASTHAN,JHUNJHUNU,Secondary Level,HINDUSTAN INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
65,1730548,RAJASTHAN,AJMER,Senior Secondary Level,MLD INTERNATIONAL ACADEMY,Disaffiliated,Ajmer,View
66,1730629,RAJASTHAN,JAIPUR,Secondary Level,MENTOR INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
67,1730633,RAJASTHAN,BHARATPUR,Secondary Level,VIJAY LAXMI INTERNATIONAL SCHOOL,Disaffiliated,Ajmer,View
68,1730654,RAJASTHAN,ALWAR,Secondary Level,SL. KAELEY PENGUIN KIDS SCHOOL,Disaffiliated,Ajmer,View
69,1730691,RAJASTHAN,JAIPUR,Secondary Level,TREE HOUSE HIGH SCHOOL,Disaffiliated,Ajmer,View
70,1730699,RAJASTHAN,JHUNJHUNU,Senior Secondary Level,SHRI DALMIA GIRLS SR. SEC. SCHOOL,Disaffiliated,Ajmer,View
